DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1111/tgis.12165,,,An Immune Genetic Algorithm to Buildings Displacement in Cartographic Generalization,"Spatial conflicts may occur when map data are displayed at a scale smaller than that of the source map. This study applies the displacement operator in cartographic generalization to resolve such spatial conflicts and to improve the clarity and legibility of map. The immune genetic algorithm (IGA) is used in this study for buildings displacement to solve conflicts. IGA is based on the genetic algorithm (GA) and employs the self-adjusting mechanism of antibody concentration to enhance population diversity. Meanwhile, the elitism retention strategy is adopted in IGA to guarantee that the best individual (antibody) is not lost and destroyed in the next generation to strengthen convergence efficiency. The compared experiment between IGA and GA shows that the displacement result produced by IGA performs better than GA. Finally, in order to make the displaced map more attractive to cartographers, two constraints – the building alignment constraint and building tangent relation constraint – are applied in IGA to restrict the buildings’ displacement. The same experimental data are adopted to prove that the improved IGA is useful for maintaining the two constraints.","Yageng Sun,Yageng Sun,Guo Qingsheng,Qingsheng Guo,Qingsheng Guo,Yuangang Liu,Yuangang Liu,Xiao Ma,Xiaoya Ma,Jie Weng,Jie Weng",Transactions in Gis,2016
10.3103/s1068373914070012,,,Cartographic generalization of radioecological conditions in the South Urals,Considered are the structure and contents of the Atlas of the East Ural and Karachai Radioactive Traces being the first cartographic generalization of current radioecological conditions in the South Urals.,"Yu. A. Izraél,Yu. A. Izrael,В.В. Снакин,V. V. Snakin,В. Н. Василенко,V. N. Vasilenko,E. M. Artemov,E. M. Artemov,E. V. Imshennik,E. V. Imshennik,A. I. Nakhutin,A. I. Nakhutin,V. R. Khrisanov,V. R. Khrisanov",Russian Meteorology and Hydrology,2014
,,,Study on cartographic generalization of city multi-scale data,"During the construction of Digital City,the important faced problem is different scale data conversion after basic scale map database building.In the paper,a multi-scale cartographic generalization method was proposed and applied in Guangzhou multi-scale map database building.According to the key generalization arithmetic of different ground objects,the cartographic generalization for city multi-scale map database construction was carried out by using generalization rules of multi-scale cartographic generalization and the 6-tuple expression for computer.","Zhan Jin-ru,Zhan Jin-ru",Science of Surveying and Mapping,2014
,,,The Application of Dotted Cartographic Generalization in Railway Electronic Map,"Railway electronic map is an important part of railway informatization,which provides the geographic information for the railway emergency command,operation management or equipment maintenance,and improves the level of railway scientific decision in each system. Cartographic generalization technology is the main technical means to realize railway thematic maps,railway geographic elements is dotted distribution,distributes as the characteristics of station dense,railways decentralized,thus puts forward four kinds of cartographic generalization method,in order to realize the different situations of cartographic generalization. Railway node cartographic generalization makes a choice through the railway node,an accurate reflection of spatial relationship of railway geographic elements,forming scientific and reasonable electronic map display,it has been verified by experiment that satisfies the requirement of drawing,have good practical value.","Zhang Bo-we,Zhang Bo-we",Science Technology and Engineering,2014
10.1080/17489725.2023.2251423,,,Making maps & visualizations for mobile devices: A research agenda for mobile-first and responsive cartographic design,"ABSTRACT In this article, we present a collective research agenda for mobile-first and responsive cartographic design. The research agenda explicitly focuses on challenges regarding design, and we begin by establishing a partial design space for mobile-first and responsive maps and visualizations, situating these design considerations within the constraints, enablements, and consequences of mobile technology. Specifically, we present 20 research challenges facing mobile-first and responsive cartography and visualization, with research challenges organized by five dimensions (i.e., sets of design decisions) of the design space: (1) scale and generalization, (2) projections, (3) symbolization and visual hierarchy, (4) toponymy and typography, and (5) user interaction. The agenda crosses and organizes a range of research foci in cartography and visualization – such as augmented/mixed reality, indoor/outdoor mapping, egocentrism, focus+context techniques, energy-aware design, glanceable visualization, visual storytelling, UI/UX design, multi-modal and embodied interaction, and inclusive design – centering conceptual, practical, and critical questions for design throughout.","Robert E. Roth,A. Çöltekin,L. Delazari,Bradley Denney,André Mendonça,Britta A. Ricker,Jie Shen,Zdenik Stachon,Mingguang Wu",Journal of Location Based Services,2024
10.1111/tgis.13246,,,Knowledge‐Guided Automated Cartographic Generalization Process Construction: A Case Study Based on Map Analysis of Public Maps of China,"The efficacy of conveying information through maps heavily depends on the quality of map generalization. However, automating map generalization poses a complex decision‐making challenge, requiring a profound understanding of the process—specifically, knowledge about the generalization procedure. Currently, there is a scarcity of research on the sequence of generalization operations, particularly for cartographic generalization involving symbolization and labeling. On the contrary, customary maps generated in practical applications consistently adhere to the specified generalization and symbolization protocol, which makes it feasible and credible to construct this overall process based on expert knowledge. To reconcile this incongruity, this paper presents a knowledge‐guided automated cartographic generalization process construction. Firstly, an exhaustive examination of the sequential procedures involved in manual generalization and a well‐applied automated generalization system are delineated, drawing upon map analysis methodologies, observations, and expert interviews. Then, elaborate guidelines governing each phase within this process, particularly concerning the symbolization and labeling of map features, are explored. Ultimately, details of the expert interview are described and a map generalized by the well‐applied system is analyzed. The results show that the automated generalization system follows the knowledge‐guided process in this paper can significantly improve production efficiency in practice, this study serves as a connection between cartographers and developers and may help achieve a higher level of automated cartographic generalization.","Xiaorong Gao,Haowen Yan,Zhongkui Chen,Panfei Yin",Trans. GIS,2024
10.15291/geoadria.86,,,Cartographic Generalization and Contributions to its Automation,"The purpose of cartographic generalization is to represent a particular situation adapted to the needs of its users, with adequate legibility of the real situation and its perceptional congruity with the representation. Interesting are those situations which to some degree vary from the real situation in nature. This is purposeful generalization where attention is directed towards particular, thematically valuable objects and their details. Difficulties in accomplishment of the cartographic generalization objectives are reflected in the basic approach. Some cartographers encourage the idea of complete prevalence of subjective approach to the process, yet accepting partial solutions that enable automated data processing of certain chart elements. Others stand for objectifying of all procedures, or schematic solving of all issues in the process, which will gradually lead up to the level where it could be termed automated. The latter is considered more acceptable by the authors of this paper, implying the necessary human intervention in the generalization, yet not to determine the course of the process, but just to act as a mediator.","Zlatimir Bičanić,Zlatimir Bićanić,Radovan Solarić,Radovan Solarić",,2017
,,,Composite geological map automated cartographic generalization method,"The invention discloses a composite geological map automated cartographic generalization method. The method specifically comprises the following steps: forming a class A constraint for determining a map surface geological factor class, a factor group and spatial and semantic relationship thereof at a source geological map structure analysis stage according to characteristics such as use, a type, a proportional scale, a cartographic region and geological data of the geological map automated cartographic generalization and an actual working flow; forming multiple intelligent bodies by following the class A and class B constraints at a source geological map cartographic generalization stage, and performing generalization operation of the geological map by adopting different operations and operators for different levels of geological map objects; performing standardization processing on the geological map data obtained by the cartographic generalization stage according to a class C constraint at a target geological map format standardization stage to obtain a geological map which conforms to a drawing standard and has good vision expression. According to the method, the problem of consideration of a geometric shape and semantic information in the geological map automated cartographic generalization is effectively solved, and the speed, efficiency and accuracy of the geological map cartographic generalization are effectively improved.","吴冲龙,张军强,刘刚,何珍文,翁正平,张志庭,张夏林,李章林,田宜平",,2014
10.3390/ijgi7120477,,,Cartographic Line Generalization Based on Radius of Curvature Analysis,"Cartographic generalization is one of the important processes of transforming the content of both analogue and digital maps. The process of reducing details on the map has to be conducted in a planned way in each case when the map scale is to be reduced. As far as digital maps are concerned, numerous algorithms are used for the generalization of vector line elements. They are used if the scale of the map (on screen or printed) is changed, or in the process of smoothing vector lines (e.g., contours). The most popular method of reducing the number of vertices of a vector line is the Douglas-Peucker algorithm. An important feature of most algorithms is the fact that they do not take into account the cartographic properties of the transformed map element. Having analysed the existing methods of generalization, the authors developed a proprietary algorithm that is based on the analysis of the curvature of the vector line and fulfils the condition of objective generalization for elements of digital maps that may be used to transform open and closed vector lines. The paper discusses the operation of this algorithm, along with the graphic presentation of the generalization results for vector lines and the analysis of their accuracy. Treating the set of verification radii of a vector line as a statistical series, the authors propose applying statistical indices of position of these series, connected with the shape of the vector line, as the threshold parameters of generalization. The developed algorithm allows for linking the generalization parameters directly to the scale of the topographic map that was obtained after generalization. The results of the operation of the algorithm were compared to the results of the reduction of vertices with use of the Douglas-Peucker algorithm. The results demonstrated that the proposed algorithm not only reduced the number of vertices, but that it also smoothed the shape of physiographic lines, if applied to them. The authors demonstrated that the errors of smoothing and position of vertices did not exceed the acceptable values for the relevant scales of topographic maps. The developed algorithm allows for adjusting the surface of the generalized areas to their initial value more precisely. The advantage of the developed algorithm consists in the possibility to apply statistical indices that take the shape of lines into account to define the generalization parameters.","Bogdan Kolanowski,Bogdan Kolanowski,J. Augustyniak,Jacek Augustyniak,Dorota Latos,Dorota Latos,Dorota Latos",ISPRS international journal of geo-information,2018
10.1007/978-3-319-07926-4_30,,,On Shape Metrics in Cartographic Generalization: A Case Study of the Building Footprint Geometry,"There are various methods, algorithms and automated tools for geometry generalization, however cartographers’ knowledge and experiences are crucial for a decision of what generalization level is suitable for the final visualization. This decision of experienced cartographer is usually correct but still quite subjective. Due to this reason we introduce the shape metrics as a tool to support objective evaluation of a generalization level. Shape metrics were originally applied in the landscape ecology in order to quantify landscape patches. Since then many scientific disciplines, including Geosciences, have adopted their principles. Generally, shape metrics serves as a quantitative description of any planar object (e.g. ground projection of a building) in order to measure its shape complexity or compactness. We used 15 shape metrics to calculate complexity of four buildings ground plans at 22 generalization levels in our case study. First, we performed shape generalization of four architecturally different buildings ground plans in consecutive levels. Then, we calculated shape metrics for each generalization level to quantify generalized shape complexity. We found out that shape metrics confirmed the fact that the higher level of geometry generalization the lower shape complexity. Nevertheless some shape metrics revealed that, in certain levels of generalization, the shape was not simplified. Aim of this paper is to introduce shape metrics application on geometry generalization in a case study and to propose suitable shape metrics to identify particular levels of an improper geometry generalization.","Vít Pásztó,Vít Pászto,Alžběta Brychtová,Alžběta Brychtová,L. Marek,Lukáš Marek",CARTOCON,2015
10.1007/s10958-014-2165-8,,,An Algorithm for Cartographic Generalization that Preserves Global Topology,We propose an algorithm for the generalization of cartographic objects that can be used to represent maps on different scales.,"Vitali Alexeev,V. V. Alexeev,V. G. Bogaevskaya,V. G. Bogaevskaya,M. M. Preobrazhenskaya,M. M. Preobrazhenskaya,M. M. Preobrazhenskaya,Alexey Ukhalov,A. Yu. Ukhalov,Herbert Edelsbrunner,Herbert Edelsbrunner,Olga Yakimova,O. P. Yakimova",Journal of Mathematical Sciences,2014
10.1142/s0217979214501331,,,Cartographic generalization of urban street networks based on gravitational field theory,"The automatic generalization of urban street networks is a constant and important aspect of geographical information science. Previous studies show that the dual graph for street–street relationships more accurately reflects the overall morphological properties and importance of streets than do other methods. In this study, we construct a dual graph to represent street–street relationship and propose an approach to generalize street networks based on gravitational field theory. We retain the global structural properties and topological connectivity of an original street network and borrow from gravitational field theory to define the gravitational force between nodes. The concept of multi-order neighbors is introduced and the gravitational force is taken as the measure of the importance contribution between nodes. The importance of a node is defined as the result of the interaction between a given node and its multi-order neighbors. Degree distribution is used to evaluate the level of maintaining the global structure and topological characteristics of a street network and to illustrate the efficiency of the suggested method. Experimental results indicate that the proposed approach can be used in generalizing street networks and retaining their density characteristics, connectivity and global structure.","Gang Liu,Gang Liu,Yongshu Li,Yongshu Li,Y. T. Li,Zheng Li,Zheng Li,Jiawei Guo,Jiawei Guo",International Journal of Modern Physics B,2014
10.3390/rs16162971,,,Cartographic Generalization of Islands Using Remote Sensing Images for Multiscale Representation,"The multi-scale representation of remote sensing images provides various levels of image information crucial for decision-making in GIS applications and plays a significant role in information processing, data analysis, and geographic modeling. Traditional methods for multi-scale representation of remote sensing images often struggle to simplify local details of individual targets while preserving the overall characteristics of target groups. These methods also encounter issues such as transitional texture distortion and rough final boundaries. This paper proposes a novel multi-scale representation method for remote sensing images based on computer vision techniques, which effectively maintains the overall characteristics of target groups. Initially, the K-means algorithm is employed to distinguish between islands and oceans. Subsequently, a superpixel segmentation algorithm is used to aggregate island groups and simplify the generated boundaries. Finally, texture synthesis and transfer are applied based on the original image to produce the aggregated island images. Evaluation metrics demonstrate that this method can generate multi-scale aggregated images of islands, effectively eliminate redundant information, and produce smooth boundaries.","Renzhu Li,Yilang Shen,Wanyue Dai",Remote Sensing,2024
10.7494/geom.2023.17.6.77,,,Digital Cartographic Generalization – Study of Its Thresholds and Stages in Example of Cartographic Line,"Digital generalization of spatial data has been the goal of the research in many research centers around the world. This article presents the evolution of cartographic generalization, drawing the reader’s attention to the change of its nature from analog to digital. Despite the passage of time and developing technologies, scientists have unfortunately yet to develop a uniform automatic generalization algorithm. One of the factors that hinder this process is the high complexity and complication of the whole process. The article is an attempt to answer this problem and addresses the issue of digital cartographic generalization by creating a proposal of thresholds and stages of cartographic generalization depending on the ratios of the numbers of points of generalized objects. The publication attempts to examine the possibility of applying an objective criterion of drawing recognition by examining digital generalization algorithms and setting its thresholds. The practical aim of the publication is to present generalization thresholds on the example of Chrobak’s algorithm. The proposal to make the selection of generalization thresholds dependent on the percentage share of points is a solution that is as simple to use as it is to implement. The method of defining intervals based on the three-sigma rule is a solution that guarantees that the obtained results will be characteristic of the probability density function of the normal distribution, which will define individual intervals most objectively.",Szczepan Budkowski,Geomatics and Environmental Engineering,2023
10.1080/13658816.2024.2369535,39318700,,Reasoning cartographic knowledge in deep learning-based map generalization with explainable AI,"Abstract Cartographic map generalization involves complex rules, and a full automation has still not been achieved, despite many efforts over the past few decades. Pioneering studies show that some map generalization tasks can be partially automated by deep neural networks (DNNs). However, DNNs are still used as black-box models in previous studies. We argue that integrating explainable AI (XAI) into a DL-based map generalization process can give more insights to develop and refine the DNNs by understanding what cartographic knowledge exactly is learned. Following an XAI framework for an empirical case study, visual analytics and quantitative experiments were applied to explain the importance of input features regarding the prediction of a pre-trained ResU-Net model. This experimental case study finds that the XAI-based visualization results can easily be interpreted by human experts. With the proposed XAI workflow, we further find that the DNN pays more attention to the building boundaries than the interior parts of the buildings. We thus suggest that boundary intersection over union is a better evaluation metric than commonly used intersection over union in qualifying raster-based map generalization results. Overall, this study shows the necessity and feasibility of integrating XAI as part of future DL-based map generalization development frameworks.","Cheng Fu,Zhiyong Zhou,Yanan Xin,Robert Weibel",International Journal of Geographical Information Science,2024
10.5194/ica-abs-7-149-2024,,,Efficient operator annotation for deep learning in cartographic building generalization,"<jats:p>
                    </jats:p>","Joris Senn,Cheng Fu,Zhiyong Zhou,Robert Weibel",Abstracts of the ICA,2024
10.5194/ica-abs-5-85-2022,,,Incorporation of automated cartographic generalization in INEGI,"<jats:p>
                    </jats:p>","Ana Violeta Zamora Gallegos,Ana Violeta Zamora Gallegos,J. Trinidad Carrillo Martinez,J. Trinidad Carrillo Martinez,Tirso Velazquez Navarro,Tirso Velazquez Navarro",Abstracts of the ICA,2022
10.1080/00087041.2020.1858608,,,Multi-Criteria Geographic Analysis for Automated Cartographic Generalization,Cartographic generalization is a process similar to text summarization that transforms a map when scale is reduced. Cartographic generalization simplifies the map content while preserving as much a...,"Guillaume Touya,G. Touya,Guillaume Touya",Cartographic Journal,2021
10.1051/bioconf/202517303025,,,Process of cartographic generalization in maps digitalization,"This article examines the results of a comparison of two methods of cartographic generalization when creating maps using the traditional method, i.e. “manually” and utilizing automated generalization techniques during computer-based map creation. Generalization is an essential characteristic of any map. Even the most detailed large-scale maps involve a degree of generalization, as representing every object with complete precision is impractical. This text explores the concept of automated cartographic generalization, highlighting its benefits and limitations, as well as the capabilities of computer technologies and specific software in the map-making process. Cartographic generalization creates certain accents and helps to show qualitatively new information on the map. Map compilation is the production of the original map, which involves creating a mathematical framework, incorporating content derived from cartographic materials with appropriate generalization, and finalizing the cartographic representation. The initial map compiler refers to the original map developed through this compilation process, on which the content elements are applied in accordance with the requirements of the editorial documents.","Natalia Minashkina,Albina Valieva,Aziza Ibraimova,Marhamat Rakhimbabayeva,Zulfiya Islamova",BIO Web of Conferences,2025
10.1080/23729333.2017.1300997,,,"DIOGEN, a multi-level oriented model for cartographic generalization","ABSTRACTAmong approaches for automated generalization of vector data, we focus on the multi-agent paradigm: cartographic objects are modeled as agents (autonomous objects) that apply generalization algorithms to themselves to satisfy cartographic constraints. Several agent levels are considered, for example, individual agents, such as a building, and agents representing a group of agents, such as an urban block composed of the surrounding roads and contained buildings. Several multi-agent models were proposed to automate the orchestration of map generalization processes. Existing multi-agent generalization models have different approaches to manage the relations between agent levels. In this paper, we unify existing models, adapting a multi-level simulation model, to simplify interactions between agents in different levels. We propose the DIOGEN model, in which the principle of interactions between agents of different levels is adapted to constraint-driven cartographic generalization. DIOGEN unifies three...","Adrien Maudet,Adrien Maudet,Adrien Maudet,Guillaume Touya,Guillaume Touya,Guillaume Touya,Cécile Duchêne,Cécile Duchêne,Cécile Duchêne,Sébastien Picault,Sébastien Picault",,2017
10.13189/ujg.2017.050301,,,Developments in Cartographic Generalization,"In recent decades, great efforts and successes have been achieved in the digital cartographic generalization. The main focus in this process has been the formalization of the theory of generalization and its practical applications. Depending on whether you will generalize data vector or raster, there are different generalization tools available in ArcGIS software. The article emphasizes the importance of integrating knowledge and systems of cartographic generalization.","Ferim Gashi,Ferim Gashi,Pal Nikolli,Pal Nikolli",,2017
,,,"Cartographic Generalization in Multi-scale Environment: Case study of Lamu County, Kenya",,"D. O. Nyangweso,T. Njoroge,D. Siriba",,2016
10.1007/978-3-319-17885-1_100125,,,Cartographic Generalization,,K. Shea,ACM SIGSPATIAL International Workshop on Advances in Geographic Information Systems,
10.5194/isprs-archives-xlii-2-w7-65-2017,,,QUANTITATIVE EVALUATION METHOD OF ELEMENTS PRIORITY OF CARTOGRAPHIC GENERALIZATION BASED ON TAXI TRAJECTORY DATA,"Abstract.  Considering the lack of quantitative criteria for the selection of elements in cartographic generalization, this study divided the hotspot areas of passengers into parts at three levels, gave them different weights, and then classified the elements from the different hotspots. On this basis, a method was proposed to quantify the priority of elements selection. Subsequently, the quantitative priority of different cartographic elements was summarized based on this method. In cartographic generalization, the method can be preferred to select the significant elements and discard those that are relatively non-significant.","Zhiling Long,Z. Long,Nai Yang,Nai Yang,Yuehui Huang,Y. Huang,Chao Yi,Y. Chao,Lin Wan,Wan Lin,L. Wan","ISPRS - International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences",2017
