Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Researching entrepreneurship using big data: implementation, benefits, and challenges",International Entrepreneurship and Management Journal,,,,10.1007/s11365-025-01100-w,Adesuwa OmoredeJuan Francisco Prados-CastilloAmalia Cristina Casas-Jurado,2025,https://link.springer.com/article/10.1007/s11365-025-01100-w,Article
Big Data,Big Data Analytics,,,,10.1007/978-3-031-55639-5_2,Ümit DemirbagaGagangeet Singh AujlaAnish JindalOğuzhan Kalyon,2024,https://link.springer.com/chapter/10.1007/978-3-031-55639-5_2,Chapter
Smart Data Driven Decision Trees Ensemble Methodology for Imbalanced Big Data,Cognitive Computation,,,,10.1007/s12559-024-10295-z,Diego García-GilSalvador GarcíaNing XiongFrancisco Herrera,2024,https://link.springer.com/article/10.1007/s12559-024-10295-z,Article
Big data and urban form: a systematic review,Journal of Big Data,,,,10.1186/s40537-025-01084-y,Vladan DjokićAleksandra DjordjevićAleksandra Milovanović,2025,https://link.springer.com/article/10.1186/s40537-025-01084-y,Article
Data Science and Big Data Analytics,Learning and Analytics in Intelligent Systems,,,,10.1007/978-981-97-9855-1,Durgesh MishraXin-She YangAynur UnalDharm Singh Jat,2025,https://link.springer.com/book/10.1007/978-981-97-9855-1,Conference proceedings
Spatiotemporal Big Data Systems,Big Data Management,,,,9789819688050,Yuan SuiZisheng YuRubin Wang,2025,https://link.springer.com/book/9789819688067,Book
Leveraging big data characteristics for enhanced healthcare fraud detection,Cluster Computing,,,,10.1007/s10586-024-05097-9,Amin KaramiFahimeh Jafari,2025,https://link.springer.com/article/10.1007/s10586-024-05097-9,Article
Regional computing approach for educational big data,Scientific Reports,,,,10.1038/s41598-025-92120-7,Bader AlshemaimriAfzal BadshahAli DaudAmal BukhariRaed AlsiniOmar Alghushairy,2025,https://link.springer.com/article/10.1038/s41598-025-92120-7,Article
Big Data,Optimierung,,,,10.1007/978-3-662-67307-2_36,Karolin Eva Kappler,2024,https://link.springer.com/chapter/10.1007/978-3-662-67307-2_36,Chapter
The impact of big data characteristics on credit risk assessment,International Journal of Data Science and Analytics,,,,10.1007/s41060-025-00753-8,Amin KaramiChukwuemeka Igbokwe,2025,https://link.springer.com/article/10.1007/s41060-025-00753-8,Article
Design of a Private Cloud Platform for Distributed Logging Big Data Based on a Unified Learning Model of Physics and Data,Applied Geophysics,,,,10.1007/s11770-025-1187-y,Xi ChengHaicheng FuTursyngazy Mahabbat,2025,https://link.springer.com/article/10.1007/s11770-025-1187-y,Article
How do Taoist thoughts influence big data technological innovation? Empirical evidence from China,Humanities and Social Sciences Communications,,,,10.1057/s41599-025-04909-6,Xiaohui ChenHongwei Zhang,2025,https://link.springer.com/article/10.1057/s41599-025-04909-6,Article
Big-IDS: a decentralized multi agent reinforcement learning approach for distributed intrusion detection in big data networks,Cluster Computing,,,,10.1007/s10586-024-04306-9,Faten LouatiFarah Barika KtataIkram Amous,2024,https://link.springer.com/article/10.1007/s10586-024-04306-9,Article
Big data and the risk of misguided responsibilization,Ethics and Information Technology,,,,10.1007/s10676-024-09794-2,Lisa Herzog,2024,https://link.springer.com/article/10.1007/s10676-024-09794-2,Article
Prospects for Construction New Metamorphic Rock Database in Big Data Epoch,Journal of Earth Science,,,,10.1007/s12583-024-0121-1,Bo LiuMingguo Zhai,2025,https://link.springer.com/article/10.1007/s12583-024-0121-1,Article
Navigating Big Data Revolution,Innovating and Integrating Emerging Technologies,,,,10.1007/978-3-031-93953-2_2,Hamed Taherdoost,2025,https://link.springer.com/chapter/10.1007/978-3-031-93953-2_2,Chapter
What Is Big Data?,The Application of Political Science Methods in Europe,,,,10.1007/978-3-031-93841-2_9,Bastiaan Bruinsma,2025,https://link.springer.com/chapter/10.1007/978-3-031-93841-2_9,Chapter
Big-data empowered traffic signal control could reduce urban carbon emission,Nature Communications,,,,10.1038/s41467-025-56701-4,Kan WuJianrong DingJingli LinGuanjie ZhengYi SunJie FangTu XuYongdong ZhuBaojing Gu,2025,https://link.springer.com/article/10.1038/s41467-025-56701-4,Article
Data-Driven Sustainability: Revolutionizing Hospital Supply Chains through Big Data Analytics,Operations Research Forum,,,,10.1007/s43069-025-00425-0,Twinkle SinghJeanne PouloseVinod Sharma,2025,https://link.springer.com/article/10.1007/s43069-025-00425-0,Article
15 years of Big Data: a systematic literature review,Journal of Big Data,,,,10.1186/s40537-024-00914-9,Davide TosiRedon KokajMarco Roccetti,2024,https://link.springer.com/article/10.1186/s40537-024-00914-9,Article
Empirical evidence and role mechanisms of big data enabling corporate green development,Scientific Reports,,,,10.1038/s41598-025-03207-0,Yao WangYitao LiZhen RuanZihan TangTilei Gao,2025,https://link.springer.com/article/10.1038/s41598-025-03207-0,Article
Development of Customized Strategies for Emergency Language Teaching Content Based on Big Data,Annals of Data Science,,,,10.1007/s40745-025-00622-y,Tingting Qin,2025,https://link.springer.com/article/10.1007/s40745-025-00622-y,Article
Optimizing healthcare big data performance through regional computing,Scientific Reports,,,,10.1038/s41598-025-87515-5,Tariq AlsahfiAfzal BadshahOmar Ibrahim AboulolaAli Daud,2025,https://link.springer.com/article/10.1038/s41598-025-87515-5,Article
Big Data und künstliche Intelligenz in der Anästhesie,Wiener klinisches Magazin,,,,10.1007/s00740-024-00546-y,Julia SanderPhilipp SimonChristian Hinske,2025,https://link.springer.com/article/10.1007/s00740-024-00546-y,Article
Big Data,Datenmanagement und Datenanalyse,,,,10.1007/978-3-658-44392-4_4,Peter Gluchowski,2024,https://link.springer.com/chapter/10.1007/978-3-658-44392-4_4,Chapter
Data Mining and Big Data,Communications in Computer and Information Science,,,,10.1007/978-981-97-0837-6,Ying TanYuhui Shi,2024,https://link.springer.com/book/10.1007/978-981-97-0837-6,Conference proceedings
Data Mining and Big Data,Communications in Computer and Information Science,,,,10.1007/978-981-97-0844-4,Ying TanYuhui Shi,2024,https://link.springer.com/book/10.1007/978-981-97-0844-4,Conference proceedings
Editorial: Fuzzy Big Data-Driven Computational Intelligence Models and Applications,International Journal of Fuzzy Systems,,,,10.1007/s40815-024-01821-0,Wentao LiHamido FujitaChao ZhangShun-Feng Su,2024,https://link.springer.com/article/10.1007/s40815-024-01821-0,Article
Understanding Big Data Better: What Big Data Can and Cannot Do,Customer Value-centered Management,,,,10.1007/978-3-031-90497-4_3,Andreas KrämerThomas BurgartzChristina Muzzu,2025,https://link.springer.com/chapter/10.1007/978-3-031-90497-4_3,Chapter
Verification of Access Control in Big Data Systems Using Temporal Logics,Automatic Control and Computer Sciences,,,,10.3103/S0146411624700974,M. A. PoltavtsevaA. A. PodorovE. B. Aleksandrova,2024,https://link.springer.com/article/10.3103/S0146411624700974,Article
Big Data Infrastructure Technologies for Data Analytics,,,,,10.1007/978-3-031-69366-3,Yuri DemchenkoJuan J. Cuadrado-GallegoOleg ChertovMarharyta Aleksandrova,2024,https://link.springer.com/book/10.1007/978-3-031-69366-3,Book
Big data analysis should not be a big burden,Nature Research Custom,,,,10.1038/d42473-025-00110-0,,2025,https://www.nature.com/articles/d42473-025-00110-0,Article
Debugging Big Data Systems for Big Data Analytics,Big Data Analytics,,,,10.1007/978-3-031-55639-5_8,Ümit DemirbagaGagangeet Singh AujlaAnish JindalOğuzhan Kalyon,2024,https://link.springer.com/chapter/10.1007/978-3-031-55639-5_8,Chapter
The applications and prospects of big data in perioperative anesthetic management,Anesthesiology and Perioperative Science,,,,10.1007/s44254-024-00068-0,Yiziting ZhuXiang LiuYujie LiBin Yi,2024,https://link.springer.com/article/10.1007/s44254-024-00068-0,Article
Crossroads between Big Data and entrepreneurship: current key trends,International Entrepreneurship and Management Journal,,,,10.1007/s11365-024-00986-2,Juan J. LullRoberto Cervelló-RoyoJosé Luis Galdón,2024,https://link.springer.com/article/10.1007/s11365-024-00986-2,Article
Big Data,"Risikomanagement, wertschätzende Führung und digitales Recruiting",,,,10.1007/978-3-658-42356-8_15,Alexander Räss,2024,https://link.springer.com/chapter/10.1007/978-3-658-42356-8_15,Chapter
Data Mining and Big Data,Communications in Computer and Information Science,,,,10.1007/978-981-96-7175-5,Ying TanYuhui Shi,2025,https://link.springer.com/book/10.1007/978-981-96-7175-5,Conference proceedings
Big Data for Project Management,Tomorrow's Data Empowered Project Management,,,,10.1007/978-3-031-84017-3_2,Tuba BakiciÖncü Hazir,2025,https://link.springer.com/chapter/10.1007/978-3-031-84017-3_2,Chapter
Application of big data technology in enterprise information security management,Scientific Reports,,,,10.1038/s41598-025-85403-6,Ping LiLimin Zhang,2025,https://link.springer.com/article/10.1038/s41598-025-85403-6,Article
"Big data for neuroscience in the context of predictive, preventive, and personalized medicine",EPMA Journal,,,,10.1007/s13167-024-00393-1,Ousman BajinkaSerge Yannick OuedraogoNa LiXianquan Zhan,2024,https://link.springer.com/article/10.1007/s13167-024-00393-1,Article
Data Mining and Big Data,Communications in Computer and Information Science,,,,10.1007/978-981-96-7178-6,Ying TanYuhui Shi,2025,https://link.springer.com/book/10.1007/978-981-96-7178-6,Conference proceedings
Enhancing multi-cloud security: novel method for big data storage,International Journal of System Assurance Engineering and Management,,,,10.1007/s13198-024-02689-x,PreethiSover Singh BishtDanish KundraHarsimrat KandhariPoonam SinghHarshita Kaushik,2025,https://link.springer.com/article/10.1007/s13198-024-02689-x,Article
A Review of Anonymization Algorithms and Methods in Big Data,Annals of Data Science,,,,10.1007/s40745-024-00557-w,Elham ShamsinejadTouraj BanirostamMir Mohsen PedramAmir Masoud Rahmani,2024,https://link.springer.com/article/10.1007/s40745-024-00557-w,Article
"Big data and cardiovascular risk—insights into obesity, diabetes, and coronary heart disease",Herz,,,,10.1007/s00059-025-05323-z,Marcus Dörr,2025,https://link.springer.com/article/10.1007/s00059-025-05323-z,Article
Big Data,Communications in Computer and Information Science,,,,10.1007/978-981-99-8979-9,Enhong ChenYang GaoLongbing CaoFu XiaoYiping CuiRong GuLi WangLaizhong CuiWanqi Yang,2023,https://link.springer.com/book/10.1007/978-981-99-8979-9,Conference proceedings
Optimizing English translation processing of conceptual metaphors in big data technology texts,Advances in Continuous and Discrete Models,,,,10.1186/s13662-025-03871-6,Wenbo Ma,2025,https://link.springer.com/article/10.1186/s13662-025-03871-6,Article
Beyond the hype: navigating the 4 VIPs of big data for sustainable agriculture,Journal of Plant Biochemistry and Biotechnology,,,,10.1007/s13562-024-00931-y,Amit YadavSreeja SudhakaranHumira Sonah,2024,https://link.springer.com/article/10.1007/s13562-024-00931-y,Article
Data reduction techniques for highly imbalanced medicare Big Data,Journal of Big Data,,,,10.1186/s40537-023-00869-3,John T. HancockHuanjing WangTaghi M. KhoshgoftaarQianxin Liang,2024,https://link.springer.com/article/10.1186/s40537-023-00869-3,Article
Big Data Technology Trends in Transportation Leveraging a Large Language Model-Based System,International Journal of Intelligent Transportation Systems Research,,,,10.1007/s13177-025-00470-3,Hamed Shahrokhi ShahrakiAbbas Babazadeh,2025,https://link.springer.com/article/10.1007/s13177-025-00470-3,Article
Big Data Management,Erfolgreiche Transformation zum digitalen Champion,,,,10.1007/978-3-658-44020-6_10,Marc Helmold,2024,https://link.springer.com/chapter/10.1007/978-3-658-44020-6_10,Chapter
Optimized dynamic task scheduling in cloud computing for big data processing,Wireless Networks,,,,10.1007/s11276-025-03954-y,D. RadhikaM. Duraipandian,2025,https://link.springer.com/article/10.1007/s11276-025-03954-y,Article
Big Data Analytics,Big Data Analytics,,,,10.1007/978-3-031-55639-5_3,Ümit DemirbagaGagangeet Singh AujlaAnish JindalOğuzhan Kalyon,2024,https://link.springer.com/chapter/10.1007/978-3-031-55639-5_3,Chapter
Big data and predictive analytics: A systematic review of applications,Artificial Intelligence Review,,,,10.1007/s10462-024-10811-5,Amirhossein JamaraniSaeid HaddadiRaheleh SarvizadehMostafa Haghi KashaniMohammad AkbariSaeed Moradi,2024,https://link.springer.com/article/10.1007/s10462-024-10811-5,Article
Big data applications in intelligent transport systems: a bibliometric analysis and review,Discover Civil Engineering,,,,10.1007/s44290-025-00205-z,Mahbub HassanHridoy Deb MahinAbdullah Al NafeesArpita PaulSaikat Sarkar Shraban,2025,https://link.springer.com/article/10.1007/s44290-025-00205-z,Article
Advanced AI and big data techniques in E-finance: a comprehensive survey,Discover Artificial Intelligence,,,,10.1007/s44163-025-00365-y,Rihab NajemAyoub BahnasseMeryem Fakhouri AmrMohamed Talea,2025,https://link.springer.com/article/10.1007/s44163-025-00365-y,Article
Student behavior patterns in vocational education big data based on clustering algorithm,Discover Artificial Intelligence,,,,10.1007/s44163-025-00433-3,Jing Jin,2025,https://link.springer.com/article/10.1007/s44163-025-00433-3,Article
Big Data Monitoring,Big Data Analytics,,,,10.1007/978-3-031-55639-5_7,Ümit DemirbagaGagangeet Singh AujlaAnish JindalOğuzhan Kalyon,2024,https://link.springer.com/chapter/10.1007/978-3-031-55639-5_7,Chapter
Bigsids: an efficient SDN-based network intrusion detection systems for big data environments,Cluster Computing,,,,10.1007/s10586-024-05075-1,Hoang-Hai HuynhXuan-Ha NguyenXuan-Duong NguyenKim-Hung Le,2025,https://link.springer.com/article/10.1007/s10586-024-05075-1,Article
A software reliability model for open source big data systems based on Weibull–Weibull distribution,Scientific Reports,,,,10.1038/s41598-025-98942-9,Jinyong WangHaijun GengPengda Li,2025,https://link.springer.com/article/10.1038/s41598-025-98942-9,Article
MSTC: a unified encoding method for geophysical big data retrieval,Earth Science Informatics,,,,10.1007/s12145-025-01935-5,Henggao GengSuping PengTao HeNa XuZhangang WangXianlei XuXiaoqin CuiWenfeng DuYang LiKunheng Li,2025,https://link.springer.com/article/10.1007/s12145-025-01935-5,Article
Big Data Analysis in Biotechnology,Advancing Biotechnology: From Science to Therapeutics and Informatics,,,,10.1007/978-3-031-80973-6_13,Priyadarshini GuptaVibha Rani,2025,https://link.springer.com/chapter/10.1007/978-3-031-80973-6_13,Chapter
Big data and inter-firm wage disparities: theory and evidence from China,Economic Change and Restructuring,,,,10.1007/s10644-024-09729-3,Han BuZhou XunSha Cai,2024,https://link.springer.com/article/10.1007/s10644-024-09729-3,Article
Big Data-Based Evaluation of Higher Education: Model Construction and Practice Path,Frontiers of Digital Education,,,,10.1007/s44366-024-0006-y,Shunping WeiWenting HouFengjuan Jiang,2024,https://link.springer.com/article/10.1007/s44366-024-0006-y,Article
Big Data and Digital Media,The Paradigm Shift from a Linear Economy to a Smart Circular Economy,,,,10.1007/978-3-031-87550-2_80,Ismail MseerKhaled Al-Qawasmi,2025,https://link.springer.com/chapter/10.1007/978-3-031-87550-2_80,Chapter
Assessing Big Data Capabilities in Manufacturing Supply Chains: A Pythagorean Fuzzy MAGDM Framework,International Journal of Fuzzy Systems,,,,10.1007/s40815-024-01833-w,Xiangqian FengJiaqi QiuCuiping Wei,2024,https://link.springer.com/article/10.1007/s40815-024-01833-w,Article
Advancing AMR Surveillance: Confluence of One Health and Big Data Integration,EcoHealth,,,,10.1007/s10393-025-01724-y,Samradhi SinghManoj KumarDevojit Kumar SarmaManoj KumawatVinod VermaMona kritiRajnarayan Tiwari,2025,https://link.springer.com/article/10.1007/s10393-025-01724-y,Article
Big Data vs. Network Security,Quantum Security,,,,10.1007/979-8-8688-1240-8_15,Christopher Murphy,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1240-8_15,Chapter
Big Data and Security,Communications in Computer and Information Science,,,,10.1007/978-981-97-4387-2,Yuan TianTinghuai MaMuhammad Khurram Khan,2024,https://link.springer.com/book/10.1007/978-981-97-4387-2,Conference proceedings
Big Data and Security,Communications in Computer and Information Science,,,,10.1007/978-981-97-4390-2,Yuan TianTinghuai MaMuhammad Khurram Khan,2024,https://link.springer.com/book/10.1007/978-981-97-4390-2,Conference proceedings
Cleaning method for abnormal energy big data based on sparse self-coding,Scientific Reports,,,,10.1038/s41598-024-74444-y,Dongge ZhuShuang ZhangRui MaWenni KangJiangbo Sha,2024,https://link.springer.com/article/10.1038/s41598-024-74444-y,Article
Geographical big data and data mining: A new opportunity for “water-energy-food” nexus analysis,Journal of Geographical Sciences,,,,10.1007/s11442-024-2202-6,Jie YangXiaoshu CaoJun YaoZhewen KangJianxia ChangYimin Wang,2024,https://link.springer.com/article/10.1007/s11442-024-2202-6,Article
Unsupervised detection of semantic correlations in big data,Communications Physics,,,,10.1038/s42005-025-02115-z,Santiago AcevedoAlex RodriguezAlessandro Laio,2025,https://link.springer.com/article/10.1038/s42005-025-02115-z,Article
Big data analytics capability and social innovation: the mediating role of knowledge exploration and exploitation,Humanities and Social Sciences Communications,,,,10.1057/s41599-024-03288-8,Nan WangBaolian ChenLiya WangZhenzhong MaShan Pan,2024,https://link.springer.com/article/10.1057/s41599-024-03288-8,Article
Data Privacy in the Light of Big Data,"Intersection of Artificial Intelligence, Data Science, and Cutting-Edge Technologies: From Concepts to Applications in Smart Environment",,,,10.1007/978-3-031-88304-0_98,Safae Sossi AlaouiYousef Farhaoui,2025,https://link.springer.com/chapter/10.1007/978-3-031-88304-0_98,Conference paper
"Big data for furniture intelligent manufacturing: conceptual framework, technologies, applications, and challenges",The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-024-13719-0,Xinyi YueXianqing XiongXiutong XuMei Zhang,2024,https://link.springer.com/article/10.1007/s00170-024-13719-0,Article
Uncovering insights from big data: change point detection of classroom engagement,Smart Learning Environments,,,,10.1186/s40561-024-00317-6,Kohei NakamuraManabu IshiharaIzumi HorikoshiHiroaki Ogata,2024,https://link.springer.com/article/10.1186/s40561-024-00317-6,Article
Data Science and Big Data Analytics,Data-Intensive Research,,,,10.1007/978-981-99-9179-2,Durgesh MishraXin She YangAynur UnalDharm Singh Jat,2024,https://link.springer.com/book/10.1007/978-981-99-9179-2,Conference proceedings
Big Data Finance in China,Contributions to Finance and Accounting,,,,10.1007/978-981-97-7981-9,Mengyao LinWei ChenWenting Zhang,2024,https://link.springer.com/book/10.1007/978-981-97-7981-9,Book
Edge artificial intelligence for big data: a systematic review,Neural Computing and Applications,,,,10.1007/s00521-024-09723-w,Atefeh HemmatiParisa RaoufiAmir Masoud Rahmani,2024,https://link.springer.com/article/10.1007/s00521-024-09723-w,Article
Providing and evaluating a model for big data anonymization streams by using in-memory processing,Knowledge and Information Systems,,,,10.1007/s10115-025-02417-2,Elham ShamsinejadHamid BanirostamTouraj BaniRostamMir Mohsen PedramAmir Masoud Rahmani,2025,https://link.springer.com/article/10.1007/s10115-025-02417-2,Article
PIONEER big data platform for prostate cancer: lessons for advancing future real-world evidence research,Nature Reviews Urology,,,,10.1038/s41585-024-00925-4,Ailbhe LawlorKatharina BeyerBeth RussellCarl SteinbeisserAnders BjartellBertrand De MeulderMuhammad Imran OmarTim HulsenJohn ButlerJames N’DowJuan Gómez RivasGiorgio GandagliaRossella NicolettiVasileios SakalisEmma Jane SmithMonika MaassJihong ZongLouise FullwoodThomas AbbottAzadeh TafreshihaKishore PapineniRobert SnijderDenis HorganSarah SeagerSusan Evans-AxelssonMaria J. RibalMonique J. RoobolMieke Van HemelrijckSheela TripatheeAlberto BrigantiMarc HoltorfAmit KiranKees van BochoveMaxim MoinatNicolas MottetRobert ShepherdLisa MorisMichael LardasRiccardo CampiMauro GacciChris BangmaSebastiaan RemmersChristian ReichDerya TilkiAnssi AuvinenTeemu MurtolaTapio VisakorpiKirsi TalalaTeuvo TammelaAino SiltariStephane LejeuneLaurence ColetteSimona CaputovaCharles AuffrayAyman HijazyNazanin Zounemat KermaniDoron LancetGabi BernsteinManfred WirthAngelika BorkowetzKristin ReicheMarkus KreuzAndreas JosefssonJack SchalkenHenkjan HuismanThomas HofmarcherPeter LindgrenPatrizia TorremanteMarc Dietrich VossMark LambrechtLaurent AntoniPaul RobinsonElaine Longden-ChapmanDanny BurkeMuriel LicourSarah PayneSophia Le MareMichael BussmannDaniel KotikRonald Herrera,2024,https://link.springer.com/article/10.1038/s41585-024-00925-4,Article
LSPP: a leakage-resilient security approach for a cloud-assisted big data,The Journal of Supercomputing,,,,10.1007/s11227-024-06657-x,Imene BouleghlimatSouheila BoudoudaSalima Hacini,2024,https://link.springer.com/article/10.1007/s11227-024-06657-x,Article
Data Modeling in Big Data Systems Including Polystore and Heterogeneous Information Processing Components,Automatic Control and Computer Sciences,,,,10.3103/S0146411623080266,M. A. Poltavtseva,2023,https://link.springer.com/article/10.3103/S0146411623080266,Article
Practical big data techniques for end-to-end machine learning deployment: a comprehensive review,Discover Data,,,,10.1007/s44248-025-00029-3,Ahmed El-SayedMohamed AbougabalShaimaa Lazem,2025,https://link.springer.com/article/10.1007/s44248-025-00029-3,Article
A software reliability model for open source big data system considering fault introduction and fault removal efficiency,Journal of Big Data,,,,10.1186/s40537-025-01153-2,Jinyong WangHaijun GengPengda Li,2025,https://link.springer.com/article/10.1186/s40537-025-01153-2,Article
Consumer Behavior Analysis in Social Networking Big Data Using Correlated Extreme Learning,Optical Memory and Neural Networks,,,,10.3103/S1060992X24700875,M. ArumugamC. Jayanthi,2025,https://link.springer.com/article/10.3103/S1060992X24700875,Article
Anesthesia decision analysis using a cloud-based big data platform,European Journal of Medical Research,,,,10.1186/s40001-024-01764-0,Shuiting ZhangHui LiQiancheng JingWeiyun ShenWei LuoRuping Dai,2024,https://link.springer.com/article/10.1186/s40001-024-01764-0,Article
Harnessing Big Data for Smarter Tourism,Leveraging Digital Marketing for Tourism,,,,10.1007/978-3-031-88582-2_12,Álvaro Hernández-TamurejoPaula González-PadillaJose Ramón Saura,2025,https://link.springer.com/chapter/10.1007/978-3-031-88582-2_12,Chapter
Big Data Enabled Computing,Intelligent Bridge Maintenance and Management,,,,10.1007/978-981-97-3827-4_5,Gang WuZhiQiang ChenJi Dang,2024,https://link.springer.com/chapter/10.1007/978-981-97-3827-4_5,Chapter
"Big Data and Data Science Engineering ",Studies in Computational Intelligence,,,,10.1007/978-3-031-78373-9,Roger Lee,2025,https://link.springer.com/book/10.1007/978-3-031-78373-9,Book
Addressing cost and resource variability for big data task scheduling in heterogeneous cloud environments,The Journal of Supercomputing,,,,10.1007/s11227-025-07248-0,Armin AyyadiArezoo Jahani,2025,https://link.springer.com/article/10.1007/s11227-025-07248-0,Article
Network security situational awareness and early warning architecture based on big data,International Journal of System Assurance Engineering and Management,,,,10.1007/s13198-024-02522-5,Xuhua Zhao,2024,https://link.springer.com/article/10.1007/s13198-024-02522-5,Article
